#{"t_start": 1774254100.7553623, "env_id": "CartPole-v1"}
r,l,t
9.0,9,7.232359
9.0,9,7.240175
10.0,10,7.248006
12.0,12,7.261814
9.0,9,7.27418
9.0,9,7.282146
10.0,10,7.289583
11.0,11,7.301575
11.0,11,7.313736
10.0,10,7.321853
9.0,9,7.331861
10.0,10,7.340127
9.0,9,7.349746
11.0,11,7.361219
11.0,11,7.372114
9.0,9,7.382187
9.0,9,7.3931
9.0,9,7.403257
9.0,9,7.411885
9.0,9,7.418898
11.0,11,7.431167
10.0,10,7.439768
9.0,9,7.449685
13.0,13,7.463265
11.0,11,7.479815
8.0,8,7.48769
12.0,12,7.498569
9.0,9,7.506312
9.0,9,7.516496
9.0,9,7.523746
9.0,9,7.533086
9.0,9,7.54039
9.0,9,7.550904
10.0,10,7.56268
9.0,9,7.572053
13.0,13,7.583124
9.0,9,7.592801
11.0,11,7.603441
11.0,11,7.614786
9.0,9,7.622562
9.0,9,7.632392
10.0,10,7.645185
13.0,13,7.658523
13.0,13,7.670037
13.0,13,7.684757
10.0,10,7.692949
10.0,10,7.703565
9.0,9,7.711424
10.0,10,7.723737
11.0,11,7.736499
9.0,9,7.744339
9.0,9,7.755361
9.0,9,7.766456
12.0,12,7.777345
10.0,10,7.785359
12.0,12,7.798996
11.0,11,7.812554
11.0,11,7.822908
14.0,14,7.83466
10.0,10,7.84563
10.0,10,7.855433
9.0,9,7.866441
9.0,9,7.874708
10.0,10,7.882741
12.0,12,7.897324
8.0,8,7.905455
9.0,9,7.915409
10.0,10,7.92439
12.0,12,7.936716
11.0,11,7.946847
10.0,10,7.955194
12.0,12,7.966826
11.0,11,7.979056
11.0,11,7.990095
10.0,10,7.998186
10.0,10,8.007788
9.0,9,8.017391
10.0,10,8.027596
9.0,9,8.037906
9.0,9,8.046221
14.0,14,8.060878
9.0,9,8.068396
9.0,9,8.075722
11.0,11,8.085898
9.0,9,8.095495
11.0,11,8.105309
11.0,11,8.115212
9.0,9,8.123094
10.0,10,8.132749
10.0,10,8.142817
11.0,11,8.153022
9.0,9,8.160486
11.0,11,8.173482
9.0,9,8.184027
11.0,11,8.194879
10.0,10,8.203918
9.0,9,8.21256
10.0,10,8.223827
11.0,11,8.235236
10.0,10,8.243288
9.0,9,8.254231
11.0,11,8.267444
11.0,11,8.278172
9.0,9,8.285999
12.0,12,8.298688
9.0,9,8.30635
